"Co","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","p","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
46.096,-0.0093245,-3.5157e-06,0.015807,0,0,0,2.7235e-05,3.8354e-05,0,1428.5,-0.011385,-0.011282,3.6176e-05,1.4218e-08,-6.3759e-05,0.72473,0.075445,0.021449,0,0.087842
48.45,-0.010173,-2.7697e-06,0.016573,0,0,0,2.843e-05,3.9183e-05,0,1041.1,-0.011428,-0.011374,3.6286e-05,9.6896e-09,-5.8928e-05,0.81572,0.075892,0.021215,0,0.088223
50.061,-0.0092966,-1.1233e-06,0.015216,0,0,0,2.2222e-05,3.3071e-05,0,1302.9,-0.011451,-0.011353,3.5392e-05,4.4313e-09,-6.2403e-05,0.64324,0.076336,0.020977,0,0.088597
47.215,-0.0086744,3.0715e-07,0.014141,0,0,0,1.824e-05,2.8186e-05,0,1515.2,-0.01149,-0.011325,3.5483e-05,-1.4644e-09,-6.2257e-05,0.53657,0.076778,0.020734,0,0.088966
44.813,-0.0082761,1.6613e-06,0.013147,0,0,0,1.4301e-05,2.3601e-05,0,1717.6,-0.011532,-0.011329,3.5719e-05,-7.8083e-09,-6.1775e-05,0.44819,0.077218,0.020485,0,0.08933
42.456,-0.007903,2.7256e-06,0.012074,0,0,0,1.1953e-05,2.1014e-05,0,1940.7,-0.011565,-0.011358,3.5745e-05,-1.3585e-08,-6.0066e-05,0.38396,0.077658,0.020228,0,0.089687
42.415,-0.007534,3.217e-06,0.011082,0,0,0,1.0458e-05,1.9464e-05,0,2096.3,-0.011586,-0.011379,3.6478e-05,-1.664e-08,-5.6195e-05,0.34703,0.077901,0.020084,0,0.089883
42.382,-0.0072377,3.6115e-06,0.010287,0,0,0,9.2582e-06,1.8219e-05,0,2221.2,-0.011603,-0.011396,3.7067e-05,-1.9092e-08,-5.3088e-05,0.31739,0.078097,0.019968,0,0.09004
38.253,-0.0088534,4.1831e-06,0.011586,0,0,0,1.3495e-05,2.1797e-05,0,1720.6,-0.011605,-0.011413,3.6658e-05,-1.8603e-08,-5.0915e-05,0.47335,0.078535,0.019702,-4.1359e-25,0.090389
40.077,-0.0096875,5.3463e-06,0.012212,0,0,0,1.4943e-05,2.2893e-05,0,1133.3,-0.011623,-0.011459,3.5769e-05,-2.0228e-08,-4.5619e-05,0.56419,0.078974,0.019428,0,0.090732
41.11,-0.0087506,6.2799e-06,0.01113,0,0,0,1.2325e-05,2.0788e-05,0,1316.3,-0.011628,-0.011491,3.3698e-05,-2.5537e-08,-4.6542e-05,0.47467,0.079411,0.019149,0,0.091068
41.111,-0.0087493,6.2811e-06,0.011128,0,0,0,1.2322e-05,2.0785e-05,0,1316.6,-0.011628,-0.011491,3.3696e-05,-2.5544e-08,-4.6544e-05,0.47455,0.079412,0.019149,0,0.091069
38.526,-0.0081496,6.9962e-06,0.0104,0,0,0,1.0585e-05,1.8857e-05,0,1430.9,-0.011643,-0.011528,3.2472e-05,-2.9693e-08,-4.506e-05,0.41977,0.079849,0.018865,0,0.091402
