"Co","U:0","U:1","U:2","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
4.6797,0.00123,-1.6074e-05,0.0009038,1.6302e-07,0,1195.1,-0.010561,-6.3983e-06,6.2482e-08,-1.7002e-07,0.053115,0.037739,0.020687,0,0.012965
2.5757,0.00017846,-2.4704e-05,0.00043809,3.3312e-08,0,1702.8,-0.010556,-2.3156e-07,1.1452e-07,-1.2194e-06,0.022464,0.038182,0.020932,0,0.013335
2.3431,0.00012926,-2.593e-05,0.00041199,2.6566e-08,0,1822,-0.010554,2.6684e-08,1.2479e-07,-1.3912e-06,0.019033,0.038311,0.021002,0,0.013443
1.7743,8.9554e-06,-2.8926e-05,0.00034817,1.0073e-08,0,2113.4,-0.010549,6.5805e-07,1.499e-07,-1.8112e-06,0.010643,0.038627,0.021172,0,0.013709
2.6025,0.00011852,-3.4511e-05,0.00077409,2.7531e-08,0,1753.3,-0.010547,8.8794e-07,1.6305e-07,-3.8194e-06,0.018997,0.039073,0.021407,0,0.014088
4.64,0.0002937,-3.8087e-05,0.0014701,8.5527e-08,0,1431.6,-0.010547,5.6335e-07,1.6143e-07,-6.9516e-06,0.037418,0.039521,0.021634,0,0.014474
5.589,0.00072592,-3.7076e-05,0.0021592,1.8156e-07,0,1089.4,-0.010553,-1.6514e-06,1.3761e-07,-8.9272e-06,0.063648,0.039972,0.021856,0,0.014867
5.8042,0.00099831,-2.5624e-05,0.0022853,2.2023e-07,0,1433,-0.010564,-3.6816e-06,1.001e-07,-9.8419e-06,0.063961,0.040427,0.022075,0,0.015266
7.5866,0.00101,-8.6156e-06,0.0025493,2.6184e-07,0,1627.9,-0.010579,-3.5408e-06,4.1598e-08,-1.1429e-05,0.06318,0.040886,0.022286,0,0.015674
6.9141,0.00095285,1.1275e-05,0.0027787,3.3314e-07,0,1115.5,-0.010598,-3.3066e-06,-3.7627e-08,-1.0634e-05,0.086074,0.04135,0.022491,0,0.016089
