"Co","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","k","kMean","nut","omega","p","pMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","arc_length","Points:0","Points:1","Points:2"
67.906,0.015826,-0.015713,0.00087658,0,0,0,2.3402e-05,2.3729e-05,0,1390.5,0.01141,0.011431,-6.6822e-05,6.4452e-05,-3.5361e-06,0.63441,0.038007,0.013625,-0.048875,0.025
67.493,0.015724,-0.015616,0.00089017,0,0,0,2.3173e-05,2.3509e-05,0,1394.4,0.011415,0.011435,-6.6449e-05,6.4088e-05,-3.5928e-06,0.63018,0.038449,0.013313,-0.048562,0.025
67.057,0.015612,-0.015536,0.00090087,0,0,0,2.2952e-05,2.3293e-05,0,1398.4,0.011417,0.011438,-6.6044e-05,6.3909e-05,-3.6257e-06,0.62639,0.038891,0.013,-0.04825,0.025
66.977,0.015601,-0.015514,0.00091832,0,0,0,2.289e-05,2.3239e-05,0,1394.6,0.01142,0.011441,-6.5937e-05,6.3796e-05,-3.6985e-06,0.62625,0.039333,0.012688,-0.047937,0.025
66.932,0.015582,-0.015451,0.00094362,0,0,0,2.2786e-05,2.3152e-05,0,1390.7,0.011423,0.011444,-6.5839e-05,6.3348e-05,-3.816e-06,0.62587,0.039775,0.012375,-0.047625,0.025
66.512,0.015479,-0.015353,0.0009571,0,0,0,2.2557e-05,2.293e-05,0,1394.8,0.011427,0.011448,-6.5457e-05,6.2979e-05,-3.8727e-06,0.62156,0.040217,0.012063,-0.047312,0.025
66.063,0.015362,-0.01527,0.00096774,0,0,0,2.2331e-05,2.2709e-05,0,1398.8,0.011429,0.011451,-6.5042e-05,6.2779e-05,-3.9058e-06,0.61769,0.040659,0.01175,-0.047,0.025
65.967,0.015347,-0.015243,0.00098545,0,0,0,2.2259e-05,2.2646e-05,0,1394.7,0.011432,0.011453,-6.4913e-05,6.2645e-05,-3.9785e-06,0.61742,0.041101,0.011438,-0.046687,0.025
65.899,0.015324,-0.015176,0.0010114,0,0,0,2.2146e-05,2.2548e-05,0,1390.7,0.011434,0.011456,-6.4795e-05,6.2178e-05,-4.0974e-06,0.61692,0.041543,0.011125,-0.046375,0.025
65.467,0.015218,-0.015074,0.0010251,0,0,0,2.1911e-05,2.2323e-05,0,1394.5,0.011438,0.01146,-6.4398e-05,6.1788e-05,-4.1553e-06,0.61255,0.041984,0.010813,-0.046062,0.025
65.011,0.0151,-0.014987,0.0010359,0,0,0,2.1676e-05,2.2095e-05,0,1398.3,0.011439,0.011462,-6.3967e-05,6.1564e-05,-4.1889e-06,0.60857,0.042426,0.0105,-0.04575,0.025
64.892,0.01508,-0.014956,0.0010534,0,0,0,2.1588e-05,2.2016e-05,0,1394.5,0.011442,0.011464,-6.3821e-05,6.1413e-05,-4.2609e-06,0.60799,0.042868,0.010188,-0.045437,0.025
64.8,0.015051,-0.014884,0.0010789,0,0,0,2.145e-05,2.1896e-05,0,1390.6,0.011444,0.011467,-6.3684e-05,6.093e-05,-4.3774e-06,0.60709,0.04331,0.0098752,-0.045125,0.025
64.353,0.014942,-0.014778,0.0010922,0,0,0,2.1216e-05,2.1669e-05,0,1394.4,0.011447,0.01147,-6.3273e-05,6.0529e-05,-4.4343e-06,0.60267,0.043752,0.0095627,-0.044812,0.025
63.884,0.01482,-0.014688,0.001103,0,0,0,2.0978e-05,2.1436e-05,0,1398.2,0.011448,0.011472,-6.2826e-05,6.0284e-05,-4.4687e-06,0.59863,0.044194,0.0092502,-0.0445,0.025
63.748,0.014796,-0.014652,0.0011209,0,0,0,2.0879e-05,2.1345e-05,0,1394.4,0.01145,0.011474,-6.2663e-05,6.0118e-05,-4.5416e-06,0.59783,0.044636,0.0089377,-0.044187,0.025
63.639,0.014762,-0.014575,0.0011467,0,0,0,2.0727e-05,2.1212e-05,0,1390.6,0.011452,0.011476,-6.2512e-05,5.962e-05,-4.6585e-06,0.59669,0.045078,0.0086252,-0.043875,0.025
63.178,0.01465,-0.014466,0.00116,0,0,0,2.0488e-05,2.0981e-05,0,1394.4,0.011455,0.011479,-6.2084e-05,5.9202e-05,-4.7156e-06,0.59215,0.04552,0.0083127,-0.043562,0.025
62.693,0.014524,-0.014371,0.0011705,0,0,0,2.0243e-05,2.0741e-05,0,1398.1,0.011456,0.01148,-6.162e-05,5.8934e-05,-4.7496e-06,0.58796,0.045962,0.0080002,-0.04325,0.025
62.534,0.014494,-0.01433,0.0011878,0,0,0,2.0129e-05,2.0636e-05,0,1394.3,0.011457,0.011482,-6.1435e-05,5.8748e-05,-4.8194e-06,0.58688,0.046404,0.0076877,-0.042937,0.025
62.403,0.014455,-0.014249,0.0012133,0,0,0,1.9956e-05,2.0483e-05,0,1390.4,0.011458,0.011484,-6.1261e-05,5.8232e-05,-4.934e-06,0.58541,0.046846,0.0073752,-0.042625,0.025
61.925,0.01434,-0.014137,0.0012263,0,0,0,1.9717e-05,2.0251e-05,0,1394.2,0.01146,0.011486,-6.0818e-05,5.7799e-05,-4.99e-06,0.5808,0.047288,0.0070627,-0.042312,0.025
61.425,0.014209,-0.014036,0.0012368,0,0,0,1.9466e-05,2.0006e-05,0,1398,0.011461,0.011487,-6.0336e-05,5.7508e-05,-5.0244e-06,0.57649,0.04773,0.0067502,-0.042,0.025
61.249,0.014175,-0.013991,0.0012543,0,0,0,1.9339e-05,1.9889e-05,0,1394.2,0.011462,0.011488,-6.0134e-05,5.7306e-05,-5.0946e-06,0.57514,0.048172,0.0064376,-0.041687,0.025
61.098,0.014131,-0.013905,0.0012799,0,0,0,1.9149e-05,1.9718e-05,0,1390.4,0.011463,0.011489,-5.9944e-05,5.6771e-05,-5.2088e-06,0.57336,0.048614,0.0061251,-0.041375,0.025
60.602,0.014012,-0.013788,0.0012927,0,0,0,1.8909e-05,1.9486e-05,0,1394.2,0.011464,0.011491,-5.9485e-05,5.632e-05,-5.2644e-06,0.56866,0.049056,0.0058126,-0.041062,0.025
60.085,0.013877,-0.013683,0.0013029,0,0,0,1.8655e-05,1.9236e-05,0,1398,0.011465,0.011492,-5.8985e-05,5.6001e-05,-5.2986e-06,0.56425,0.049497,0.0055001,-0.04075,0.025
59.884,0.013837,-0.013631,0.0013204,0,0,0,1.8512e-05,1.9104e-05,0,1394.1,0.011465,0.011492,-5.8759e-05,5.5774e-05,-5.3678e-06,0.56256,0.049939,0.0051876,-0.040437,0.025
59.721,0.013787,-0.013539,0.0013463,0,0,0,1.8298e-05,1.8911e-05,0,1390.3,0.011465,0.011493,-5.8546e-05,5.5219e-05,-5.482e-06,0.56038,0.050381,0.0048751,-0.040125,0.025
59.209,0.013665,-0.013418,0.0013591,0,0,0,1.8057e-05,1.8678e-05,0,1394.1,0.011466,0.011494,-5.8069e-05,5.4749e-05,-5.5382e-06,0.55559,0.050823,0.0045626,-0.039812,0.025
58.682,0.013526,-0.013308,0.0013693,0,0,0,1.7797e-05,1.8425e-05,0,1397.8,0.011466,0.011494,-5.7549e-05,5.4403e-05,-5.5731e-06,0.55104,0.051265,0.0042501,-0.0395,0.025
58.456,0.013479,-0.01325,0.0013866,0,0,0,1.7638e-05,1.8278e-05,0,1394,0.011466,0.011495,-5.73e-05,5.4154e-05,-5.6409e-06,0.549,0.051707,0.0039376,-0.039187,0.025
58.28,0.013423,-0.013152,0.0014127,0,0,0,1.7401e-05,1.8064e-05,0,1390.2,0.011465,0.011495,-5.7063e-05,5.3574e-05,-5.755e-06,0.54638,0.052149,0.0036251,-0.038875,0.025
57.744,0.013296,-0.013026,0.0014258,0,0,0,1.7156e-05,1.7829e-05,0,1393.9,0.011466,0.011496,-5.6565e-05,5.3079e-05,-5.8126e-06,0.54145,0.052591,0.0033126,-0.038562,0.025
