# y+ ()       
# Time        	patch         	min           	max           	average       
64.5          	bottom	5.413181e-02	4.141963e+02	1.577295e+02
64.5          	frontAndBack	2.050901e-01	2.281544e+02	6.491336e+01
64.5          	obstacle	6.195315e-02	8.972586e+01	3.834346e+01
65            	bottom	5.352388e-02	4.156424e+02	1.577786e+02
65            	frontAndBack	1.724884e-01	2.278755e+02	6.495333e+01
65            	obstacle	6.125831e-02	8.995629e+01	3.841161e+01
65.5          	bottom	1.354596e-02	4.151689e+02	1.578194e+02
65.5          	frontAndBack	2.161305e-01	2.291150e+02	6.485577e+01
65.5          	obstacle	1.550322e-02	8.993709e+01	3.836125e+01
66            	bottom	1.434458e-02	4.155435e+02	1.578013e+02
66            	frontAndBack	1.561027e-01	2.275230e+02	6.483942e+01
66            	obstacle	1.641705e-02	8.989313e+01	3.842373e+01
66.5          	bottom	3.811112e-02	4.154986e+02	1.577671e+02
66.5          	frontAndBack	2.062814e-01	2.281544e+02	6.490077e+01
66.5          	obstacle	4.361803e-02	9.009347e+01	3.847562e+01
67            	bottom	3.425662e-02	4.147897e+02	1.577496e+02
67            	frontAndBack	1.241657e-01	2.299212e+02	6.483575e+01
67            	obstacle	3.920614e-02	9.009277e+01	3.838622e+01
67.5          	bottom	5.072048e-02	4.149275e+02	1.577873e+02
67.5          	frontAndBack	1.422074e-01	2.266829e+02	6.479033e+01
67.5          	obstacle	5.804844e-02	8.975282e+01	3.838099e+01
68            	bottom	1.553999e-02	4.166416e+02	1.577711e+02
68            	frontAndBack	1.534670e-01	2.286286e+02	6.479841e+01
68            	obstacle	1.778519e-02	8.955935e+01	3.836311e+01
68.5          	bottom	5.987378e-02	4.162531e+02	1.577811e+02
68.5          	frontAndBack	1.340838e-01	2.295007e+02	6.475175e+01
68.5          	obstacle	6.852419e-02	8.946636e+01	3.830050e+01
69            	bottom	4.272465e-02	4.159444e+02	1.576833e+02
69            	frontAndBack	1.290241e-01	2.261385e+02	6.473640e+01
69            	obstacle	4.889740e-02	8.944496e+01	3.833979e+01
69.5          	bottom	2.589069e-02	4.145858e+02	1.576802e+02
